Lifestyle,How ,Explanation,Categories,Type
BH4,,酵素反応を助け、神経伝達物質の生成に関与します。,葉酸,0
CoQ10,活動前,エネルギー生産を支え、抗酸化作用を持ちます。,ミトコンドリア,0
DAO酵素,,ヒスタミンの分解を促進します。,ヒスタミン代謝,0
DHA,,脳や目の健康を支える必須脂肪酸です。,栄養,0
DIM（ブロッコリー）,,ホルモンバランスを整えるのに役立ちます。,化学物質過敏,0
5-HTP,食後,セロトニンの前駆体として、気分や睡眠を調整します。,フェーズII グルタチオンペルオキシダーゼ,0
5MTHF,食後,葉酸の活性型で、DNA合成や修復を助けます。,フェーズII UDP-グルクロン酸転移酵素,0
ATP,活動前,細胞のエネルギー供給源として機能します。,ミトコンドリア,0
プロバイオティクス,,腸内環境を整え、消化を助けます。,ミトコンドリア,0
ヘム,,酸素運搬を助けます。,ヒスタミン代謝,0
ベタイン,,ホモシステインレベルを調整します。,栄養,0
クレイ,起床直後,酵素反応を助け、神経伝達物質の生成に関与します。,葉酸,0
クレイ,起床直後,エネルギー生産を支え、抗酸化作用を持ちます。,ミトコンドリア,0
クレイ,起床直後,ヒスタミンの分解を促進します。,ヒスタミン代謝,0
クレイ,起床直後,脳や目の健康を支える必須脂肪酸です。,栄養,0
BPA,,腸内環境を改善。,化学物質過敏,1
アルコール,,腸内環境を改善。,フェーズII グルタチオンペルオキシダーゼ,1
カゼイン,,腸内環境を改善。,フェーズII UDP-グルクロン酸転移酵素,1
グルテン,グルテンを抜いたものを食べる。,腸内環境を改善。,ミトコンドリア,1
グレープフルーツ,,腸内環境を改善。,ミトコンドリア,1
